,Outcome,Log,RVM
0,1,0.961674244719036,0.9145238306985365
1,1,0.9767575599443591,0.9814654434183282
2,1,0.9350264299124921,0.9185146141189381
3,1,0.9736413204943293,0.9549417776701963
4,0,0.9052821156561046,0.9742124322272784
5,1,0.9505168524704396,0.9660905495098614
6,0,0.8429633616557851,0.7044784366869774
7,1,0.9599833425507196,0.9661750040840026
8,1,0.9639233468101754,0.9786147106504426
9,1,0.9827779335191141,0.9946890909822275
10,1,0.9757713547180034,0.9838327262477143
11,1,0.8842645307724925,0.8791323876354831
12,1,0.9649620099315721,0.96478859449179
13,1,0.9695472539973298,0.983209355160088
14,1,0.945973135981341,0.9170872857202705
15,1,0.7863145614551682,0.8501257926877128
16,0,0.8884747110283856,0.8964126176292879
17,0,0.8884747110283856,0.7752031006186874
18,1,0.988334133569394,0.9952914032873683
19,1,0.9423028119214087,0.9728408069695346
20,1,0.9666868205382199,0.9389924388230706
21,1,0.9252612619757655,0.960283999250084
22,1,0.9432137612651984,0.9171225585783325
23,1,0.9347838002831649,0.9709158905159262
24,1,0.7753207164116693,0.7684798278317901
25,1,0.9639285092566181,0.9939480813570369
26,1,0.7661721501274552,0.7160915326884564
27,1,0.9577411934065537,0.969366982448113
28,0,0.9410265471694612,0.9487271543843265
29,1,0.94824769520337,0.9538072853157168
30,1,0.9430104697465028,0.9080182399243546
31,1,0.9710394943113612,0.9975580029237807
32,1,0.9252612619757655,0.9675035685913416
33,1,0.893503285956084,0.9529770053367133
34,1,0.9331621549813349,0.8751503151855321
35,1,0.9167430229969413,0.9424388115945003
36,1,0.9858393159977797,0.9883277147467129
37,1,0.9160689775705237,0.8673830748237354
38,0,0.5905766295795641,0.5694475613310103
39,1,0.9318088657523416,0.9323796659639854
40,1,0.9883473670199806,0.9266155482446571
41,1,0.9797849214310134,0.9866505359715111
42,1,0.893503285956084,0.9563476932799084
43,1,0.8586161400627288,0.9132490563055499
44,1,0.6950513262861514,0.7336227855038413
45,1,0.9667875391911097,0.9733853423144355
46,1,0.9331621549813349,0.8926645404610751
47,1,0.9638014808634037,0.9804445195421834
48,1,0.9023114205149101,0.8909697528435259
49,0,0.8516847579621387,0.8263876966885455
50,1,0.9808735072156922,0.9506327282917311
51,1,0.9781027743982861,0.9836265275692692
52,0,0.8314241734095886,0.8674843050743081
53,1,0.9649620099315721,0.96478859449179
54,1,0.886812218345022,0.9465460537017287
55,1,0.9866125258067876,0.9927731957881537
56,1,0.8948345488980437,0.8797118461637466
57,1,0.893503285956084,0.926777975611964
58,1,0.9655537304426116,0.9919608977119414
59,1,0.9478195281890514,0.8245429672317836
60,1,0.981748348502783,0.9962363920110282
61,1,0.9799528967306115,0.9828341310570926
62,1,0.886812218345022,0.7223865263924603
63,1,0.9501733371541817,0.9552776696644221
64,1,0.879447044050079,0.8816318201318808
65,1,0.8358467053422516,0.817481017642714
66,1,0.9513333477304476,0.9600667815353746
67,1,0.9803961962919855,0.9826455632186751
68,1,0.9754976077345947,0.9632066407549253
69,1,0.9793430648918895,0.9809944116823675
70,1,0.9206105094537137,0.9343438493972797
71,1,0.8815096015573544,0.887634533756919
72,1,0.9658340414216184,0.9660683428038273
73,1,0.9298591952717967,0.8570660908355777
74,1,0.9686702433962571,0.9799337481502515
75,1,0.9331621549813349,0.951837157065615
76,1,0.8522127273029483,0.9044743252420399
77,1,0.9278577433221128,0.8414875124018945
78,1,0.9558388063422647,0.9867274018816544
79,1,0.920610895615492,0.950325973200203
80,0,0.8905864947611764,0.7221116825259093
81,1,0.9447482442461957,0.986170907095054
82,1,0.8483569787978501,0.8505933753620709
83,1,0.9696649672315977,0.9825154171657504
84,1,0.879447044050079,0.9546441501956089
85,0,0.898331072322998,0.964516447559704
86,1,0.8440617416026309,0.7951658970580747
87,1,0.9411767344985273,0.9270661989698972
88,1,0.9679806588138482,0.9913716752514079
89,1,0.9493552533155037,0.8995102844963471
90,0,0.8953185894561007,0.917194874493697
91,1,0.9674599437975964,0.9920929701675204
92,1,0.988818219728666,0.9937629656826016
93,1,0.9617250727125176,0.9367312886510994
94,1,0.9235043535618506,0.9015272821543977
95,1,0.9931577051947591,0.9975968305772461
96,1,0.9278577433221128,0.8940266564070959
97,1,0.9457391211735785,0.9489174319217055
98,1,0.9686875783177972,0.9440083941148985
99,1,0.9768423667086451,0.9812113246001697
100,1,0.921600280973158,0.8928996145019239
101,1,0.7774851716589631,0.8158137239839264
102,1,0.8791915083293801,0.8780067449222734
103,1,0.9278577433221128,0.9197765085574122
104,1,0.8516847579621387,0.8296789447355102
105,1,0.9386546277045683,0.9775589637119111
106,0,0.898331072322998,0.8339154510260898
107,1,0.9410265471694612,0.939725337583556
108,1,0.9733130496031853,0.983988637663152
109,1,0.9610551572788906,0.9843905824975243
